BHK,Size,Area Locality,Bathroom,Floor_num,Total_floors,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family
4,2000,10.163398585448467,4,9.0,17.0,1,0,0,0,0,0,1,0,0,1,0
2,930,9.741993200294317,2,5.0,5.0,0,1,0,0,1,0,0,1,0,1,0
2,750,9.861446501611551,2,2.0,4.0,1,0,0,1,0,0,0,0,0,1,0
4,2520,9.890462467837805,5,2.0,2.0,1,0,0,0,1,0,0,1,0,0,1
4,3800,10.034721954335277,4,3.0,10.0,1,0,0,0,1,0,0,1,0,1,0
4,2550,10.025945152114721,4,2.0,3.0,1,0,0,0,1,0,0,1,0,1,0
2,700,9.934925552177635,2,14.0,23.0,1,0,0,0,0,0,1,0,1,1,0
1,600,9.773639665841069,1,2.0,4.0,0,1,0,0,0,0,0,1,0,0,1
3,850,9.95100837727962,3,8.0,14.0,1,0,0,0,0,0,1,0,1,0,1
1,600,9.688460148555688,1,0.0,3.0,0,1,1,0,0,0,0,0,1,1,0
2,550,9.691771570605614,1,3.0,4.0,1,0,0,1,0,0,0,0,1,1,0
3,2120,9.817780550429397,3,9.0,18.0,0,1,1,0,0,0,0,0,0,1,0
1,500,9.958469940945635,2,1.0,8.0,0,1,0,0,0,0,1,1,0,1,0
1,250,9.74753333599368,1,0.0,3.0,0,1,0,1,0,0,0,1,0,1,0
3,1557,9.924225972151216,3,1.0,5.0,0,1,1,0,0,0,0,1,0,1,0
3,1100,10.026808928786085,4,16.0,21.0,1,0,0,0,0,0,1,0,1,1,0
1,450,9.714839329047969,1,0.0,4.0,1,0,0,0,0,0,0,1,0,1,0
1,300,9.630893547147483,1,0.0,3.0,1,0,0,0,0,1,0,0,1,1,0
1,550,9.901274670580026,1,1.0,5.0,1,0,0,0,1,0,0,0,1,0,0
3,1565,9.924225972151216,3,1.0,6.0,1,0,0,0,1,0,0,0,0,1,0
2,710,10.077442025963904,2,13.0,18.0,1,0,0,0,0,0,1,1,0,1,0
1,30,9.683467170099838,1,2.0,3.0,1,0,0,1,0,0,0,0,0,1,0
2,1197,9.710767217095004,2,0.0,2.0,0,1,0,0,1,0,0,0,1,1,0
2,1000,10.113568323800703,3,4.0,9.0,1,0,0,0,0,0,1,1,0,1,0
2,1200,9.706152339208037,2,1.0,3.0,0,1,1,0,0,0,0,0,0,1,0
2,758,9.981843523490312,2,12.0,24.0,1,0,0,0,0,0,1,1,0,1,0
2,900,9.775007714032695,2,1.0,3.0,0,1,0,0,0,1,0,0,1,1,0
2,1100,9.762861385330027,2,2.0,5.0,0,1,0,0,1,0,0,0,0,0,1
2,1000,9.880419719622086,2,0.0,4.0,0,1,1,0,0,0,0,1,0,0,1
3,2430,10.367135756577706,3,7.0,9.0,0,1,0,0,1,0,0,1,0,0,0
3,1300,10.121965278112041,4,37.0,51.0,1,0,0,0,0,0,1,1,0,1,0
2,800,9.961747817835903,2,2.0,7.0,1,0,0,0,0,0,1,0,1,0,1
2,1200,9.728906318520849,2,1.0,3.0,1,0,0,0,0,0,0,1,0,1,0
2,750,9.784959597769017,2,0.0,3.0,0,1,0,0,0,0,0,1,0,1,0
2,700,9.618405240489187,1,2.0,3.0,0,1,0,0,0,0,0,0,1,1,0
3,106,9.665475174466074,1,0.0,4.0,0,1,0,1,0,0,0,1,0,1,0
2,600,9.69856784231601,2,2.0,2.0,0,1,0,0,1,0,0,0,1,1,0
1,400,9.70519868340429,1,1.0,1.0,0,1,0,0,0,1,0,0,1,1,0
2,1100,9.799712554128785,2,2.0,4.0,0,1,0,0,1,0,0,1,0,1,0
